ligand_i	ligand_j	DDG(i->j) (kcal/mol)	uncertainty (kcal/mol)
lig_1	lig_11-0	0.9899999999999995	0.5102940328869239
lig_1	lig_11	0.9899999999999995	0.5102940328869239
lig_1	lig_12-0	1.2733333333333334	0.3017173069834307
lig_1	lig_12	1.2733333333333334	0.3017173069834307
lig_1	lig_13-0	0.956666666666667	0.393234450847498
lig_1	lig_13-1	-2.0666666666666664	0.7226571340084684
lig_1	lig_2	-0.8366666666666666	0.2836077102854105
lig_11-0	lig_11	-0.5233333333333333	0.3023794525647094
lig_11-0	lig_12-0	0.1633333333333332	0.6747098141670486
lig_11-0	lig_12	0.1633333333333332	0.6747098141670486
lig_11-0	lig_13-0	0.8800000000000002	0.311929479209645
lig_11-0	lig_13-1	-2.9766666666666666	1.4760194217331082
lig_11-0	lig_2	-1.3266666666666669	0.5008326400438894
lig_11	lig_12-0	0.6766666666666671	0.875233302230516
lig_11	lig_12	0.6766666666666671	0.875233302230516
lig_11	lig_13-0	0.9200000000000004	0.6102458520956955
lig_11	lig_13-1	-1.8466666666666711	0.8597867952773722
lig_11	lig_2	-0.8733333333333336	0.1474222959166404
lig_12-0	lig_12	-1.3900000000000006	0.6691038783328036
lig_12-0	lig_13-0	-0.0600000000000022	0.170880074906349
lig_12-0	lig_13-1	-2.93	1.240120961842028
lig_12-0	lig_2	-1.5766666666666669	0.4196824196143242
lig_12	lig_13-0	0.5966666666666663	0.3971565602295074
lig_12	lig_13-1	-1.4833333333333332	0.8228203530135455
lig_12	lig_2	-0.7466666666666666	0.9920853457910428
lig_13-0	lig_13-1	-1.5600000000000005	0.9083501527494776
lig_13-0	lig_2	-1.4633333333333336	1.0002666311205903
lig_13-1	lig_2	0.9666666666666662	0.3438507428134086
